Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-11-30,3.200000047683716,3.200000047683716,3.069999933242798,3.1700000762939453,670700,0,0
2020-12-01,3.369999885559082,3.380000114440918,3.200000047683716,3.299999952316284,819900,0,0
2020-12-02,3.299999952316284,3.299999952316284,3.119999885559082,3.1500000953674316,450600,0,0
2020-12-03,3.1500000953674316,3.1500000953674316,3.049999952316284,3.109999895095825,189400,0,0
2020-12-04,3.119999885559082,3.1600000858306885,3.0899999141693115,3.1500000953674316,146500,0,0
2020-12-07,3.1700000762939453,3.2799999713897705,3.130000114440918,3.259999990463257,329400,0,0
2020-12-08,3.299999952316284,3.4700000286102295,3.259999990463257,3.4100000858306885,534200,0,0
2020-12-09,3.450000047683716,5.239999771118164,3.259999990463257,4.46999979019165,24212900,0,0
2020-12-10,3.5999999046325684,3.9800000190734863,3.299999952316284,3.6600000858306885,6631200,0,0
2020-12-11,3.7100000381469727,3.880000114440918,3.5199999809265137,3.690000057220459,1725600,0,0
2020-12-14,3.6500000953674316,3.6600000858306885,3.4600000381469727,3.5,886400,0,0
2020-12-15,3.5399999618530273,3.6600000858306885,3.380000114440918,3.490000009536743,1506200,0,0
2020-12-16,3.5299999713897705,3.5299999713897705,3.380000114440918,3.450000047683716,390600,0,0
2020-12-17,3.450000047683716,3.450000047683716,3.2899999618530273,3.3499999046325684,495700,0,0
2020-12-18,3.359999895095825,3.430000066757202,3.3299999237060547,3.4200000762939453,292000,0,0
2020-12-21,3.450000047683716,3.5799999237060547,3.3299999237060547,3.5399999618530273,688000,0,0
2020-12-22,3.5899999141693115,3.5999999046325684,3.430000066757202,3.440000057220459,379800,0,0
2020-12-23,3.4100000858306885,3.5299999713897705,3.359999895095825,3.509999990463257,557200,0,0
2020-12-24,3.5299999713897705,3.569999933242798,3.4600000381469727,3.5,231800,0,0
2020-12-28,3.569999933242798,3.569999933242798,3.430000066757202,3.490000009536743,302900,0,0
2020-12-29,3.5199999809265137,3.5299999713897705,3.3299999237060547,3.4100000858306885,392000,0,0
2020-12-30,3.5299999713897705,4.039999961853027,3.509999990463257,3.6500000953674316,3499600,0,0
2020-12-31,3.6500000953674316,3.940000057220459,3.5,3.5999999046325684,1335800,0,0
