Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-05,36.875951989362335,37.524826541403925,36.137237135245755,36.5565071105957,113700,0.0,0
2021-01-06,37.13549703745972,39.63116210976101,37.015706180252415,39.05216598510742,151200,0.0,0
2021-01-07,39.27178781356577,39.68107675481413,37.9740426687356,39.281768798828125,60600,0.0,0
2021-01-08,39.96058714775902,39.96058714775902,36.30693370475821,37.36509704589844,70100,0.0,0
2021-01-11,36.23706079559813,38.90243341926595,36.23706079559813,37.135501861572266,37300,0.0,0
2021-01-12,37.93411372303534,37.93411372303534,35.94756240777242,36.676300048828125,112100,0.0,0
2021-01-13,37.03567079702302,40.88897855338339,37.03567079702302,38.77265548706055,185100,0.0,0
2021-01-14,39.18194535264972,41.62769811717058,39.18194535264972,40.47969055175781,128600,0.0,0
2021-01-15,39.870745988793956,40.17022886019546,37.285236681196906,37.96405792236328,72500,0.0,0
2021-01-19,38.273520384660166,42.6658925135866,37.93410977644238,41.398094177246094,138100,0.0,0
2021-01-20,41.43802124104508,43.62422628451425,41.43802124104508,42.34644317626953,59000,0.0,0
2021-01-21,42.566062235411714,42.895491847971314,40.86900924968641,42.63594055175781,61100,0.0,0
2021-01-22,41.86728170279527,43.06520186566242,41.51789006733049,42.905479431152344,35200,0.0,0
2021-01-25,41.36814770789152,42.925444266130846,40.739242777905275,41.96710968017578,30100,0.0,0
2021-01-26,42.39635949168008,42.84557615849135,40.120310354911574,40.15026092529297,52400,0.0,0
2021-01-27,39.12204599168054,42.80565023461928,38.78263537486932,41.01875305175781,112900,0.0,0
2021-01-28,41.747488557088225,42.426309818836245,39.15199818552203,41.55781936645508,55000,0.0,0
2021-01-29,41.27830323341078,41.677611211363676,38.36336794183721,38.41328048706055,87100,0.0,0
2021-02-01,39.36163544733733,39.571270429414724,37.84427040967016,38.82257080078125,76900,0.0,0
2021-02-02,39.54132329931451,39.930646493331174,38.652867024131204,38.91241455078125,67000,0.0,0
2021-02-03,39.25182033161377,42.76571724432216,39.24183934678455,42.586029052734375,79100,0.0,0
2021-02-04,43.00530494272981,49.913304450847264,43.00530494272981,49.0947265625,199900,0.0,0
2021-02-05,49.78352704216455,49.78352704216455,46.32952740958025,47.89680480957031,82800,0.0,0
2021-02-08,47.91677455625843,48.51573271497842,44.68239059815442,46.249671936035156,38000,0.0,0
2021-02-09,46.33950737570334,48.75531315324954,45.62075842218838,47.17805099487305,52500,0.0,0
2021-02-10,49.91330443371089,64.27835284043961,49.91330443371089,57.679813385009766,439800,0.0,0
2021-02-11,58.9675761799984,58.9675761799984,54.655067082009744,55.51357650756836,164900,0.0,0
2021-02-12,55.52355715421463,56.671564645688484,54.31565613635339,54.724945068359375,70700,0.0,0
2021-02-16,54.874689448471514,57.95933188986786,53.89638911473223,57.43024826049805,108400,0.0,0
2021-02-17,57.43024754318141,59.88598504455459,57.050909166811124,57.93936538696289,81700,0.0,0
2021-02-18,57.95933328572239,59.796143130144486,56.392055755263016,57.51011276245117,43100,0.0,0
