Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-08,14258.400390625,14367.2998046875,14221.650390625,14347.25,613500,0,0
2021-01-11,14474.0498046875,14498.2001953125,14383.099609375,14484.75,672900,0,0
2021-01-12,14473.7998046875,14590.650390625,14432.849609375,14563.4501953125,929600,0,0
2021-01-13,14639.7998046875,14653.349609375,14435.7001953125,14564.849609375,874000,0,0
2021-01-14,14550.0498046875,14617.7998046875,14471.5,14595.599609375,620200,0,0
2021-01-15,14594.349609375,14617.4501953125,14357.849609375,14433.7001953125,789600,0,0
2021-01-18,14453.2998046875,14459.150390625,14222.7998046875,14281.2998046875,762000,0,0
2021-01-19,14371.650390625,14546.0498046875,14350.849609375,14521.150390625,546100,0,0
2021-01-20,14538.2998046875,14666.4501953125,14517.5498046875,14644.7001953125,623100,0,0
2021-01-21,14730.9501953125,14753.5498046875,14517.25,14590.349609375,704600,0,0
2021-01-22,14583.400390625,14619.900390625,14357.75,14371.900390625,776800,0,0
2021-01-25,14477.7998046875,14491.099609375,14218.599609375,14238.900390625,618600,0,0
2021-01-27,14237.9501953125,14237.9501953125,13929.2998046875,13967.5,660700,0,0
2021-01-28,13810.400390625,13898.25,13713.25,13817.5498046875,637900,0,0
2021-01-29,13946.599609375,13966.849609375,13596.75,13634.599609375,753200,0,0
2021-02-01,13758.599609375,14336.349609375,13661.75,14281.2001953125,870500,0,0
2021-02-02,14481.099609375,14731.7001953125,14469.150390625,14647.849609375,915000,0,0
2021-02-03,14754.900390625,14868.849609375,14574.150390625,14789.9501953125,869500,0,0
2021-02-04,14789.0498046875,14913.7001953125,14714.75,14895.650390625,884700,0,0
2021-02-05,14952.599609375,15014.650390625,14864.75,14924.25,935600,0,0
2021-02-08,15064.2998046875,15159.900390625,15041.0498046875,15115.7998046875,671200,0,0
2021-02-09,15164.150390625,15257.099609375,15064.2998046875,15109.2998046875,713300,0,0
2021-02-10,15119.0498046875,15168.25,14977.2001953125,15106.5,624800,0,0
2021-02-11,15073.25,15188.5,15065.400390625,15173.2998046875,500100,0,0
2021-02-12,15186.2001953125,15243.5,15081.0,15163.2998046875,571800,0,0
2021-02-15,15270.2998046875,15340.150390625,15243.400390625,15314.7001953125,456000,0,0
2021-02-16,15371.4501953125,15431.75,15242.2001953125,15313.4501953125,648500,0,0
2021-02-17,15279.900390625,15314.2998046875,15170.75,15208.900390625,504800,0,0
2021-02-18,15238.7001953125,15250.75,15078.0498046875,15118.9501953125,770600,0,0
2021-02-19,15074.7998046875,15144.0498046875,14898.2001953125,14981.75,712200,0,0
2021-02-22,14999.0498046875,15010.099609375,14635.0498046875,14675.7001953125,609900,0,0
2021-02-23,14782.25,14854.5,14651.849609375,14707.7998046875,744100,0,0
2021-02-24,14729.150390625,15008.7998046875,14504.5,14982.0,403800,0,0
2021-02-25,15079.849609375,15176.5,15065.349609375,15097.349609375,803900,0,0
2021-02-26,14888.599609375,14919.4501953125,14467.75,14529.150390625,1103600,0,0
2021-03-01,14702.5,14806.7998046875,14638.5498046875,14761.5498046875,507300,0,0
2021-03-02,14865.2998046875,14959.099609375,14760.7998046875,14919.099609375,621700,0,0
2021-03-03,15064.400390625,15273.150390625,14995.7998046875,15245.599609375,544200,0,0
2021-03-04,15026.75,15202.349609375,14980.2001953125,15080.75,534900,0,0
2021-03-05,14977.9501953125,15092.349609375,14862.099609375,14938.099609375,640700,0,0
2021-03-08,15002.4501953125,15111.150390625,14919.900390625,14956.2001953125,0,0,0
2021-03-09,15049.900390625,15126.849609375,14925.4501953125,15098.400390625,675300,0,0
2021-03-10,15202.150390625,15218.4501953125,15100.849609375,15174.7998046875,404600,0,0
2021-03-12,15321.150390625,15336.2998046875,14953.599609375,15030.9501953125,493200,0,0
2021-03-15,15048.400390625,15048.400390625,14745.849609375,14929.5,467500,0,0
2021-03-16,14996.099609375,15051.599609375,14890.650390625,14910.4501953125,100,0,0
2021-03-17,14946.5498046875,14956.5498046875,14696.0498046875,14721.2998046875,100,0,0
2021-03-18,14855.5,14875.2001953125,14478.599609375,14557.849609375,542200,0,0
2021-03-19,14471.150390625,14788.25,14350.099609375,14744.0,919200,0,0
2021-03-22,14736.2998046875,14763.900390625,14597.849609375,14736.400390625,459000,0,0
2021-03-23,14768.5498046875,14878.599609375,14707.0,14814.75,474200,0,0
2021-03-24,14712.4501953125,14752.349609375,14535.0,14549.400390625,456400,0,0
2021-03-25,14570.900390625,14575.599609375,14264.400390625,14324.900390625,606800,0,0
2021-03-26,14506.2998046875,14572.900390625,14414.25,14507.2998046875,481000,0,0
2021-03-30,14628.5,14876.2998046875,14617.599609375,14845.099609375,594500,0,0
2021-03-31,14811.849609375,14813.75,14670.25,14690.7001953125,463900,0,0
2021-04-01,14798.400390625,14883.2001953125,14692.4501953125,14867.349609375,445000,0,0
2021-04-05,14837.7001953125,14849.849609375,14459.5,14637.7998046875,509700,0,0
2021-04-06,14737.0,14779.099609375,14573.900390625,14683.5,475300,0,0
2021-04-07,14716.4501953125,14879.7998046875,14649.849609375,14819.0498046875,0,0,0
2021-04-08,14875.650390625,14984.150390625,14821.099609375,14873.7998046875,514800,0,0
2021-04-09,14882.650390625,14918.4501953125,14785.650390625,14834.849609375,504100,0,0
2021-04-12,14644.650390625,14652.5,14248.7001953125,14310.7998046875,650200,0,0
2021-04-13,14364.900390625,14528.900390625,14274.900390625,14504.7998046875,605100,0,0
2021-04-15,14522.400390625,14597.5498046875,14353.2001953125,14581.4501953125,568000,0,0
