Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-02-04,ARCHIDPLY,EQ,38.45,38.5,38.75,35.65,36.6,36.7,36.33,19979,72589780000.0,244.0,10687,0.5349
2019-02-05,ARCHIDPLY,EQ,36.7,37.9,38.0,35.75,37.95,36.8,36.74,14204,52181850000.0,202.0,10648,0.7495999999999999
2019-02-06,ARCHIDPLY,EQ,36.8,37.0,38.0,36.2,37.7,37.35,37.13,9751,36200825000.0,157.0,6860,0.7034999999999999
2019-02-07,ARCHIDPLY,EQ,37.35,37.45,38.2,36.95,36.95,37.05,37.39,3708,13863710000.0,111.0,2797,0.7543000000000001
2019-02-08,ARCHIDPLY,EQ,37.05,37.45,37.5,36.5,37.05,37.1,37.06,6179,22899440000.0,79.0,5434,0.8794
2019-02-11,ARCHIDPLY,EQ,37.1,37.0,38.4,36.6,37.7,37.1,37.61,19809,74500855000.0,471.0,12412,0.6265999999999999
2019-02-12,ARCHIDPLY,EQ,37.1,37.3,37.3,35.9,36.0,36.0,36.16,11952,43217685000.0,237.0,8182,0.6846
2019-02-13,ARCHIDPLY,EQ,36.0,36.2,37.05,35.5,36.15,36.25,36.35,6990,25407955000.0,130.0,4791,0.6854000000000001
2019-02-14,ARCHIDPLY,EQ,36.25,36.55,37.2,36.15,36.65,36.75,36.59,9196,33652390000.000008,134.0,6244,0.679
2019-02-15,ARCHIDPLY,EQ,36.75,37.0,37.0,36.0,36.55,36.5,36.53,7214,26355710000.0,127.0,6952,0.9637
2019-02-18,ARCHIDPLY,EQ,36.5,36.25,36.45,35.05,35.6,35.35,35.66,15282,54494850000.0,224.0,12234,0.8005
2019-02-19,ARCHIDPLY,EQ,35.35,35.25,41.4,35.25,37.85,37.85,38.86,42891,166662600000.0,708.0,19817,0.462
2019-02-20,ARCHIDPLY,EQ,37.85,38.0,38.75,36.6,37.5,37.2,37.14,14870,55222465000.0,262.0,10826,0.728
2019-02-21,ARCHIDPLY,EQ,37.2,36.95,37.0,35.5,36.55,36.55,36.06,19045,68678050000.0,223.0,15090,0.7923
2019-02-22,ARCHIDPLY,EQ,36.55,37.0,39.9,36.85,38.9,38.85,37.92,14519,55057730000.000015,674.0,7720,0.5317000000000001
2019-02-25,ARCHIDPLY,EQ,38.85,39.45,40.8,38.25,40.45,40.15,39.78,41848,166465725000.0,680.0,19070,0.4557
2019-02-26,ARCHIDPLY,EQ,40.15,40.0,40.0,38.2,39.0,39.0,38.93,14596,56818750000.0,358.0,7933,0.5435
2019-02-27,ARCHIDPLY,EQ,39.0,39.9,40.45,38.0,38.1,38.25,39.03,16921,66047510000.0,402.0,8819,0.5212
2019-02-28,ARCHIDPLY,EQ,38.25,39.1,39.1,38.0,39.0,38.75,38.61,5245,20252300000.0,118.0,4041,0.7704000000000001
2019-03-01,ARCHIDPLY,EQ,38.75,37.3,41.25,37.3,40.05,40.2,40.06,20443,81895935000.0,321.0,15302,0.7484999999999999
2019-03-05,ARCHIDPLY,EQ,40.2,40.65,43.65,40.0,41.95,41.8,42.13,37513,158029500000.0,1025.0,23739,0.6328
2019-03-06,ARCHIDPLY,EQ,41.8,42.8,45.75,42.15,44.45,44.2,44.32,69352,307383560000.0,941.0,36799,0.5306000000000001
2019-03-07,ARCHIDPLY,EQ,44.2,45.65,45.65,43.4,43.95,43.65,43.86,16323,71595085000.0,207.0,12355,0.7569
2019-03-08,ARCHIDPLY,EQ,43.65,43.95,43.95,41.75,41.95,42.1,42.43,14764,62647685000.0,265.0,11478,0.7774
2019-03-11,ARCHIDPLY,EQ,42.1,43.0,43.4,42.0,42.6,42.1,42.55,20649,87871250000.0,277.0,14441,0.6994
2019-03-12,ARCHIDPLY,EQ,42.1,43.8,44.0,42.25,43.35,43.2,43.37,39011,169179375000.0,534.0,26105,0.6692
2019-03-13,ARCHIDPLY,EQ,43.2,43.0,43.25,42.15,42.3,42.4,42.59,6340,27003190000.000004,226.0,4000,0.6309
2019-03-14,ARCHIDPLY,EQ,42.4,43.6,45.6,41.4,43.5,43.5,43.07,79643,343039680000.0,959.0,24293,0.305
2019-03-15,ARCHIDPLY,EQ,43.5,43.75,45.9,41.6,41.8,42.0,42.96,29224,125554810000.00005,773.0,17460,0.5975
2019-03-18,ARCHIDPLY,EQ,42.0,42.5,44.0,41.55,41.95,41.9,42.06,8194,34466210000.0,184.0,6343,0.7741
2019-03-19,ARCHIDPLY,EQ,41.9,42.8,42.8,40.55,41.1,41.4,41.42,23172,95986975000.0,447.0,14038,0.6058
2019-03-20,ARCHIDPLY,EQ,41.4,41.0,41.4,40.6,41.0,40.95,41.03,8581,35210395000.0,150.0,6023,0.7019
2019-03-22,ARCHIDPLY,EQ,40.95,41.35,42.0,40.5,40.5,40.6,41.13,9348,38447910000.0,229.0,5757,0.6159
2019-03-25,ARCHIDPLY,EQ,40.6,40.4,40.5,39.15,39.55,39.6,39.87,7359,29340245000.0,221.0,5328,0.7240000000000001
2019-03-26,ARCHIDPLY,EQ,39.6,39.7,40.8,39.7,40.05,40.0,40.24,19474,78354265000.0,264.0,15621,0.8020999999999999
2019-03-27,ARCHIDPLY,EQ,40.0,40.9,40.9,38.5,38.5,39.2,39.75,16566,65857455000.000015,296.0,12836,0.7748
2019-03-28,ARCHIDPLY,EQ,39.2,39.9,41.0,39.0,39.7,39.95,39.72,18422,73181150000.0,272.0,15170,0.8235
2019-03-29,ARCHIDPLY,EQ,39.95,39.25,41.7,39.25,40.0,40.0,40.01,43000,172022555000.0,212.0,38850,0.9035
2019-04-01,ARCHIDPLY,EQ,40.0,39.5,41.9,39.2,39.4,39.45,40.0,42249,169004985000.0,226.0,36172,0.8562000000000001
2019-04-02,ARCHIDPLY,EQ,39.45,39.5,40.3,39.45,40.0,39.95,39.86,14274,56902535000.0,159.0,9499,0.6655
2019-04-03,ARCHIDPLY,EQ,39.95,40.05,40.05,39.05,39.65,39.55,39.76,16916,67265475000.0,196.0,11467,0.6779000000000001
2019-04-04,ARCHIDPLY,EQ,39.55,39.5,39.55,38.75,38.75,38.75,39.06,11051,43170325000.0,144.0,8642,0.782
2019-04-05,ARCHIDPLY,EQ,38.75,39.05,39.8,38.5,39.35,39.0,38.98,70061,273100510000.0,174.0,63375,0.9046
2019-04-08,ARCHIDPLY,EQ,39.0,38.2,40.2,38.2,40.0,39.6,39.52,102699,405890675000.0,193.0,90127,0.8776
2019-04-09,ARCHIDPLY,EQ,39.6,40.0,40.5,39.0,39.25,39.25,39.27,12022,47216150000.0,180.0,7306,0.6077
2019-04-10,ARCHIDPLY,EQ,39.25,38.95,39.5,38.6,38.8,38.75,38.86,18665,72536860000.0,158.0,15718,0.8421
2019-04-11,ARCHIDPLY,EQ,38.75,38.55,39.65,38.5,39.05,39.1,39.16,6239,24429265000.0,127.0,4335,0.6948000000000001
2019-04-12,ARCHIDPLY,EQ,39.1,38.25,39.6,38.25,39.45,39.05,39.08,5190,20281175000.0,101.0,3925,0.7563
2019-04-15,ARCHIDPLY,EQ,39.05,38.7,41.5,38.65,39.6,39.7,39.63,116432,461436565000.0001,297.0,109080,0.9369
2019-04-16,ARCHIDPLY,EQ,39.7,40.1,40.85,38.5,38.9,38.7,39.21,24639,96611975000.0,283.0,19682,0.7988
2019-04-18,ARCHIDPLY,EQ,38.7,39.15,39.65,38.3,38.7,38.8,39.0,16417,64023719999.999985,280.0,11293,0.6879000000000001
2019-04-22,ARCHIDPLY,EQ,38.8,38.75,38.75,37.7,37.7,37.9,38.03,5062,19250720000.0,184.0,4196,0.8289
2019-04-23,ARCHIDPLY,EQ,37.9,38.0,38.2,37.5,37.5,37.65,37.81,5141,19436250000.0,111.0,4864,0.9461
2019-04-24,ARCHIDPLY,EQ,37.65,37.6,37.9,36.75,37.4,37.6,37.17,12648,47009665000.0,244.0,7838,0.6197
2019-04-25,ARCHIDPLY,EQ,37.6,38.0,38.5,37.0,37.05,37.25,37.41,13705,51275150000.0,239.0,7245,0.5286
2019-04-26,ARCHIDPLY,EQ,37.25,38.15,38.2,37.0,37.05,37.05,37.17,5877,21842490000.0,115.0,4452,0.7575000000000001
2019-04-30,ARCHIDPLY,EQ,37.05,37.05,37.25,35.7,35.75,35.95,35.98,73163,263251270000.0001,292.0,67691,0.9252
2019-05-02,ARCHIDPLY,EQ,35.95,34.85,37.35,34.85,35.7,35.7,35.99,9244,33265455000.0,184.0,7060,0.7637
2019-05-03,ARCHIDPLY,EQ,35.7,36.6,42.4,35.95,39.3,39.95,39.99,138618,554392495000.0,1342.0,47630,0.3436
2019-05-06,ARCHIDPLY,EQ,39.95,39.0,40.75,38.35,38.45,38.6,39.4,54266,213830405000.0,909.0,23415,0.4315
2019-05-07,ARCHIDPLY,EQ,38.6,39.0,39.8,36.5,36.75,37.2,38.29,22932,87800345000.0,479.0,16000,0.6977
2019-05-08,ARCHIDPLY,EQ,37.2,36.7,37.7,35.3,35.9,36.1,36.14,14373,51948110000.0,328.0,9495,0.6606000000000001
2019-05-09,ARCHIDPLY,EQ,36.1,35.75,36.6,35.1,35.2,35.55,35.79,9065,32439635000.0,234.0,4379,0.4831
2019-05-10,ARCHIDPLY,EQ,35.55,35.15,36.55,35.1,36.0,36.05,36.04,7314,26359700000.0,229.0,5194,0.7101000000000001
2019-05-13,ARCHIDPLY,EQ,36.05,35.45,36.7,35.2,35.2,35.3,35.64,7459,26587280000.0,189.0,3835,0.5141
2019-05-14,ARCHIDPLY,EQ,35.3,35.25,35.75,34.0,34.5,34.65,34.49,40803,140718145000.0,283.0,36976,0.9062
