,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
16,16,16,16,16,16,16,16,16,16,4828,2019-01-23,IPAPPM,EQ,443.95,445.25,448.35,442.65,443.0,443.95,444.72,15127,672731835000.0,479.0,9141.0,0.6043000000000001
17,17,17,17,17,17,17,17,17,17,4829,2019-01-24,IPAPPM,EQ,443.95,441.75,445.4,430.6,435.0,432.1,437.48,40195,1758460995000.0,1728.0,27825.0,0.6923
18,18,18,18,18,18,18,18,18,18,4830,2019-01-25,IPAPPM,EQ,432.1,436.5,436.5,421.05,421.05,424.5,427.91,36532,1563243950000.0,855.0,26591.0,0.7279000000000001
19,19,19,19,19,19,19,19,19,19,4831,2019-01-28,IPAPPM,EQ,424.5,425.15,425.15,399.2,412.0,408.0,406.47,58518,2378558155000.0,2878.0,35782.0,0.6115
20,20,20,20,20,20,20,20,20,20,4832,2019-01-29,IPAPPM,EQ,408.0,405.3,427.5,402.6,422.0,421.4,419.73,40770,1711253720000.0,2183.0,26142.0,0.6412000000000001
21,21,21,21,21,21,21,21,21,21,4833,2019-01-30,IPAPPM,EQ,421.4,421.95,429.4,419.0,428.5,427.3,424.89,39935,1696783630000.0,1623.0,20690.0,0.5181
22,22,22,22,22,22,22,22,22,22,4834,2019-01-31,IPAPPM,EQ,427.3,462.0,487.0,453.3,477.2,477.0,469.99,718259,33757525920000.0,18906.0,170126.0,0.23690000000000005
23,23,23,23,23,23,23,23,23,23,4835,2019-02-01,IPAPPM,EQ,477.0,479.6,482.4,467.0,472.25,473.6,474.88,134138,6369933935000.0,3971.0,52708.0,0.3929
24,24,24,24,24,24,24,24,24,24,4836,2019-02-04,IPAPPM,EQ,473.6,474.0,474.0,451.0,453.0,453.95,459.11,85158,3909675245000.0015,3555.0,47894.0,0.5624
25,25,25,25,25,25,25,25,25,25,4837,2019-02-05,IPAPPM,EQ,453.95,455.05,460.45,441.5,448.1,449.05,453.28,80180,3634369700000.0,2276.0,40824.0,0.5092
26,26,26,26,26,26,26,26,26,26,4838,2019-02-06,IPAPPM,EQ,449.05,449.7,454.95,447.05,448.3,450.35,451.31,35251,1590926765000.0,5099.0,18486.0,0.5244
27,27,27,27,27,27,27,27,27,27,4839,2019-02-07,IPAPPM,EQ,450.35,450.7,463.05,448.15,457.05,456.45,457.89,60115,2752583710000.0,2735.0,39617.0,0.659
28,28,28,28,28,28,28,28,28,28,4840,2019-02-08,IPAPPM,EQ,456.45,455.0,464.1,450.0,451.1,452.1,458.1,31685,1451481695000.0,3502.0,16145.0,0.5095000000000001
29,29,29,29,29,29,29,29,29,29,4841,2019-02-11,IPAPPM,EQ,452.1,452.05,452.05,442.0,443.0,446.8,447.26,28626,1280327115000.0,1055.0,18448.0,0.6444
30,30,30,30,30,30,30,30,30,30,4842,2019-02-12,IPAPPM,EQ,446.8,446.05,458.3,441.0,452.25,450.35,451.7,61454,2775859070000.0,3790.0,17554.0,0.2856
31,31,31,31,31,31,31,31,31,31,4843,2019-02-13,IPAPPM,EQ,450.35,456.5,461.4,448.0,452.0,450.45,455.42,69347,3158180335000.0,2036.0,28351.0,0.4088000000000001
32,32,32,32,32,32,32,32,32,32,4844,2019-02-14,IPAPPM,EQ,450.45,449.0,450.0,435.55,442.0,440.4,443.14,35984,1594583835000.0,1163.0,21958.0,0.6102000000000001
33,33,33,33,33,33,33,33,33,33,4845,2019-02-15,IPAPPM,EQ,440.4,442.0,443.3,424.5,441.0,438.3,434.96,55873,2430250540000.0,1686.0,28558.0,0.5111
34,34,34,34,34,34,34,34,34,34,4846,2019-02-18,IPAPPM,EQ,438.3,439.0,446.0,431.0,437.0,442.15,440.12,35851,1577871790000.0,5511.0,20600.0,0.5746
35,35,35,35,35,35,35,35,35,35,4847,2019-02-19,IPAPPM,EQ,442.15,442.2,447.9,438.15,440.0,441.65,444.92,31837,1416489555000.0,886.0,14904.0,0.4681
36,36,36,36,36,36,36,36,36,36,4848,2019-02-20,IPAPPM,EQ,441.65,441.65,451.5,441.65,448.0,448.15,447.79,34279,1534986355000.0,739.0,18483.0,0.5392
37,37,37,37,37,37,37,37,37,37,4849,2019-02-21,IPAPPM,EQ,448.15,447.45,459.7,444.5,457.0,458.1,454.91,78190,3556961515000.0,2017.0,37612.0,0.481
38,38,38,38,38,38,38,38,38,38,4850,2019-02-22,IPAPPM,EQ,458.1,459.9,462.0,452.0,456.1,456.75,457.99,55332,2534140400000.0,2000.0,32217.0,0.5822
39,39,39,39,39,39,39,39,39,39,4851,2019-02-25,IPAPPM,EQ,456.75,461.9,463.7,452.25,462.0,462.1,460.95,47584,2193362285000.0,3172.0,15821.0,0.3325
40,40,40,40,40,40,40,40,40,40,4852,2019-02-26,IPAPPM,EQ,462.1,452.0,456.0,412.8,453.0,453.3,448.25,46751,2095600010000.0,1550.0,20127.0,0.4305
41,41,41,41,41,41,41,41,41,41,4853,2019-02-27,IPAPPM,EQ,453.3,448.1,463.0,445.75,448.0,446.6,454.53,46192,2099569315000.0,1385.0,23674.0,0.5125
42,42,42,42,42,42,42,42,42,42,4854,2019-02-28,IPAPPM,EQ,446.6,448.8,453.0,444.0,447.0,445.45,447.82,24438,1094389540000.0,653.0,11800.0,0.4829
43,43,43,43,43,43,43,43,43,43,4855,2019-03-01,IPAPPM,EQ,445.45,446.1,476.5,446.1,472.0,472.95,465.71,180358,8399380400000.0,4894.0,67069.0,0.3719
44,44,44,44,44,44,44,44,44,44,4856,2019-03-05,IPAPPM,EQ,472.95,474.8,496.35,467.05,488.0,490.45,485.28,222979,10820765550000.0,6132.0,83965.0,0.3766
45,45,45,45,45,45,45,45,45,45,4857,2019-03-06,IPAPPM,EQ,490.45,493.95,504.7,481.0,485.3,486.2,492.16,133292,6560090930000.0,4677.0,43516.0,0.3265
46,46,46,46,46,46,46,46,46,46,4858,2019-03-07,IPAPPM,EQ,486.2,482.85,488.7,476.15,477.9,479.0,481.12,45372,2182923565000.0,1129.0,24553.0,0.5411
