ticker,company
ACMMY,Acom
ATEYY,Advantest
AONNY,Aeon
ASGLY,AGC Inc.
ADERY,Aida Engineering
AIFLY,Aiful
ASEKY,Aisin
AJINY,Ajinomoto
ALFRY,Alfresa
APELY,Alps Alpine Co. Ltd
 LTD,AMADA CO.
ALNPY,ANA Holdings
AITUY,Anritsu
AOZOY,Aozora Bank
ASBRY,Asahi Group
AHKSY,Asahi Kasei
ASCCY,ASICS
ALPMY,Astellas Pharma
NCBDY,BANDAI NAMCO Holdings Inc.
BSEFY,Benesse Holdings
BRDCY,Bridgestone
BRTHY,Brother Industries
 Inc,Calbee
CCOEY,Capcom
CSIOY,Casio Computer
CJPRY,Central Japan Rail
CHBAY,Chiba Bank
CHYCY,Chiyoda
CHGCY,Chugai Pharmaceutical
CGKEY,Chugoku Electric Power
CHCLY,Citizen Watch
CCOJY,Coca-Cola Bottlers Japan
CRDIY,Concordia Financial Group
CKPDY,Cookpad Inc.
CSGYY,Cosmo Energy
CYGIY,CyberAgent
CYBQY,CYBERDYNE
DNPLY,Dai Nippon Printing
DLICY,Dai-ichi Life
DIBUY,Daibiru
DFKCY,Daifuku
DSNKY,Daiichi Sankyo
DKILY,Daikin Industries
DIFTY,Daito Trust Construction
DWAHY,Daiwa House Industry
DSEEY,Daiwa Securities
DNZOY,Denso
DNTUY,Dentsu Group Inc
DSCSY,Disco
EJPRY,East Japan Railway
EBCOY,Ebara
ESALY,Eisai
EDRWY,Electric Power Development
ENJPY,en-japan
 Inc.,ENEOS Holdings
FYRTY,FamilyMart Co. Ltd
FANUY,Fanuc Corporation
FRCOY,Fast Retailing
FLDYY,Fields
FELTY,Fuji Electric
FJTNY,Fuji Media
 Inc.,Fuji Seal International
FUJIY,FUJIFILM
FJTCY,Fujitec
FJTSY,Fujitsu
FKKFY,Fukuoka Financial
FUAIY,Funai Electric
FUWAY,Furukawa Electric
GLYYY,Glory
GMYOY,GMO Internet
HACBY,Hachijuni Bank
HKUOY,Hakuhodo DY
HPHTY,Hamamatsu Photonics K.K.
HNNKY,Hankyu Hanshin Holdings Inc
HSSKY,Haseko Corp
HINOY,Hino Motors
HROEY,Hirose Electric Co
HTSUY,Hisamitsu Pharmaceutical
HTHIY,Hitachi
HTCIY,Hitachi Capital
HTCMY,Hitachi Construction Machinery
HMTLY,Hitachi Metals
HHKIY,Hochiki
HKHUY,Hokuhoku
HSHZY,Hoshizaki Corporation
HOCPY,Hoya
IBIDY,Ibiden
IDKOY,Idemitsu Kosan
IHICY,IHI
IPXHY,INPEX
IIJIY,Internet Initiative Japan
IMHDY,Isetan Mitsukoshi
ISUZY,Isuzu Motors
ITOCY,Itochu
ITTOY,ITOCHU Techno-Solutions
JAPSY,Japan Airlines
JTTRY,Japan Airport Terminal
JPDYY,Japan Display
JPXGY,Japan Exchange
JPTXY,Japan Petroleum Exploration
JPPTY,Japan Post Bank
JPPHY,Japan Post Holdings
JPNPY,Japan Post Insurance
JNRFY,Japan Retail Fund Investment
JPSWY,Japan Steel Works
JAPAY,JAPAN TOBACCO
JGCCY,JGC Holdings Corporation
JSCPY,JSR
JTEKY,JTEKT
